Goods Name,Goods Code,굿즈 Status,출시일,졸업일,출시예정일
메시지 캐리어 파우치,MSGC,판매중,2022-10-06,,2022-10-06
모던 스텐머그,DP06,졸업,,,
퍼 블랭킷,FUBL,판매중,2019-10-01,,
베러댄 텀블러,,,,,
원핸드 텀블러,SIGO,졸업,2020-07-06,2021-01-12,
코르크 데스크매트,CKDM,졸업,2019-05-24,2021-05-03,
골프공 전용 쇼핑백,GFSB,판매중,2021-02-05,,
브랜디파이 핸드스트랩,BRDF,졸업,2021-10-25,2025-12-31,
월드와이드 멀티어댑터,WWMA,판매중,2025-03-12,,
KeepSafe 안전봉투,SFPP,판매중,2019-11-21,,
센텐스 펜,STCP,판매중,2021-06-15,,2022-08-11
피크닉 포터블 스피커,PICP,졸업,2020-02-25,2021-05-13,
에브리 폴더블 멀티충전기,CHTW,판매중,2026-06-01,,
컬러풀 노트패드,CNPD,판매중,2018-12-26,,
픽미 핸들 텀블러 ,PMHT,판매 준비,2026-07-30,,
마그넷 오프너,MOPN,졸업,2021-05-31,2026-07-13,
몰스킨 데일리 노트,MOLN,판매중,2025-08-05,,
위시 오브제 캔들,OJCD,판매중,2023-10-17,,2023-10-13
리사이저블 페이퍼 박스,PBOX,졸업,2019-03-29,2019-12-12,
클라우드 피크닉매트,PCMT,판매중,2019-04-01,,
포시즌 티셔츠,FTSH,판매중,2023-05-16,,2023-05-16
브릭스탠드 멀티충전기,BSMC,판매중,2025-08-05,,
Start 틴케이스,TNCS,판매중,2018-10-26,,
그라운드 쿠션체어,GRCH,졸업,2021-05-10,2022-06-24,
허니콤보,HONY,졸업,2021-06-29,2025-06-25,
내추럴 노트,NTRN,판매중,2021-08-09,,
그립-잇,GRIT,판매중,2019-06-12,,
스테이 텀블러,TMBS,판매중,2026-02-13,,
락앤락 | 더블월 콜드컵,DP18,졸업,,,
비주얼 USB 릴케이블,VIRC,졸업,2021-01-11,2022-05-08,
베러 배러리,BTBT,졸업,2019-06-04,2020-12-23,
미스트 워터보틀,MIST,판매중,2024-02-29,,
레디고 런치박스,RDGL,판매중,2023-03-24,,2023-03-24
라이트 샤오미펜,LXMP,판매중,2024-12-26,,
라미 사파리 펜,LAMY,판매중,2021-02-09,,
Window 스트랩 박스,TWKB,판매중,2026-07-23,,
Baseus | 차량용 비상망치,DP13,졸업,,,
하이킹 폴딩방석,HIKF,판매중,2022-09-30,,2022-09-07
리유저블 캘린더,RUCD,판매중,2021-09-13,,
캠페인 캔들,CDL,졸업,2018-08-01,2021-01-12,
어텐션 스포츠 보틀,ATSB,판매중,2023-05-08,,2023-05-08
월드 오브 피규어 Set,WOFS,판매중,2021-09-09,,
어드벤스 3단 자동우산,ATAU,판매중,2025-08-12,,2025-08-06
플러스 멀티충전 스테이션,PLSM,판매중,2024-08-08,,2024-07-30
컴포트 스텐머그 ,UMUG,판매중,2026-02-13,,
커넥트 미니 보조배터리,DP01,졸업,,,
익스텐드 차량용 청소기,ESTD,졸업,2022-03-02,2022-06-20,2022-02-28
톤앤톤 쿨러백,TTCB,판매중,2021-05-11,,
TrueHEPA 미니 공기청정기,TRAC,졸업,2020-01-02,2021-12-27,
슬라이드 그립,SLGP,졸업,2020-01-20,2022-06-23,
스탠딩 포터블 선풍기,SDPF,졸업,2019-03-15,2021-06-07,
워터풀 무선가습기,WTWH,졸업,2019-11-25,2021-05-11,
히트업 손난로 보조배터리,HTUS,판매중,2024-09-12,,2024-09-12
스펙트럼 컬러펜,SPCP,판매중,2019-02-25,,2022-06-22
RE:CUP,RECP,졸업,2020-10-01,2026-04-24,
미출시 제품,URPD,,,,
모바일 오피스 파우치,MOFP,판매중,2020-08-26,,
핸디링 미니 선풍기,HDRM,판매중,2024-04-05,,2024-04-05
선물용 포장지,GWRP,판매중,,,
하이업 노트북 폴딩스탠드,HIUN,판매중,2024-06-26,,2024-06-19
미니멀 스텐머그,MSTM,판매중,2023-04-28,,2023-04-28
듀얼 USB 3.1,DUSB,졸업,2020-07-29,2022-10-20,
페이퍼 샤쉐,PSCH,판매중,2019-02-12,,
