period_unit,period_key,group_type,parent_group,group_name,inv_amount,inv_ratio,sku_count,sales_1m,sales_3m,sales_ytd,turnover_1m,turnover_3m,turnover_ytd,weighted_avg_unit_price
weekly,2026-01-16,season,,여름,43243729,0.08446303563,9,400,2964,400,0.09056786688,0.6711078936,0.09056786688,9808.710327
weekly,2026-01-16,season,,봄가을,41450332,0.08096019815,5,0,610,0,0,0.2036920011,0,13841.1493
weekly,2026-01-16,subcategory,Drinkware,보틀,16737584,0.04288241174,5,851,1911,851,0.2508445499,0.5632948707,0.2508445499,5600.02617
weekly,2026-01-16,subcategory,Stationery,펜,17830800,0.04568327826,13,14057,45455,14057,1.132072245,3.660691749,1.132072245,1493.938463
weekly,2026-01-16,subcategory,Fragrance,샤쉐,2661963,0.006820063959,4,2700,9086,2700,1.181550036,3.976134676,1.181550036,1023.924405
weekly,2026-01-16,subcategory,Stationery,메모패드,1501576,0.003847102443,3,1820,5923,1820,1.925398392,6.266008065,1.925398392,1629.076053
weekly,2026-01-16,subcategory,Stationery,다이어리,57322411,0.1468624881,9,6112,41589,6112,0.5845270707,3.977404507,0.5845270707,5691.098122
weekly,2026-01-16,subcategory,Stationery,미분류,807236,0.002068173431,13,5653,21117,5653,0.6378813241,2.382830341,0.6378813241,102.7816797
weekly,2026-01-16,subcategory,Kit Package,플라스틱 박스,97500,0.0002497992031,4,0,0,0,0,0,0,1300
weekly,2026-01-16,subcategory,Tech,충전기,12699448,0.03253653323,3,1725,5148,1725,1.076310356,3.212084472,1.076310356,8869.076866
weekly,2026-01-16,subcategory,Lifestyle,타월,4925226,0.01261864133,2,2616,10907,2616,3.262271117,13.60152564,3.262271117,3177.657831
weekly,2026-01-16,subcategory,Bag&pouch,노트북백,13286196,0.0340398069,3,1710,1910,1710,1.913203354,2.136969828,1.913203354,19510.67103
weekly,2026-01-16,subcategory,Stationery,포스트잇,5538890,0.01419087495,5,2100,5306,2100,0.81728882,2.065016418,0.81728882,2246.245674
weekly,2026-01-16,subcategory,Figure,월드 오브 피규어,750000,0.001921532331,2,0,0,0,0,0,0,5000
weekly,2026-01-16,subcategory,Drinkware,텀블러,9853839,0.0252459603,4,1961,7971,1961,1.120333227,4.553888909,1.120333227,6687.040507
weekly,2026-01-16,subcategory,Lifestyle,구강관리,3724800,0.00954309817,1,1125,6136,1125,0.6215469613,3.390055249,0.6215469613,1600
weekly,2026-01-16,subcategory,Tech,PC/ 노트북 악세사리,8702189,0.02229538336,5,3201,7722,3201,2.591059178,6.250596367,2.591059178,9270.771153
weekly,2026-01-16,subcategory,Kit Package,지퍼백,694800,0.001780107552,3,300,2000,300,0.206810221,1.378734807,0.206810221,487.0725389
weekly,2026-01-16,subcategory,Tech,배터리,5760860,0.01475957166,4,1090,5893,1090,1.460701386,7.897168135,1.460701386,7588.009124
weekly,2026-01-16,subcategory,Lifestyle,여권케이스,1465800,0.003755442788,1,500,1080,500,1.305483029,2.819843342,1.305483029,4200
weekly,2026-01-16,subcategory,Drinkware,리유저블컵,5694600,0.01458981069,4,400,2684,400,0.1153916434,0.7742779269,0.1153916434,1664.562919
weekly,2026-01-16,subcategory,Fragrance,디퓨저,0,0,1,402,2187,402,0,0,0,0
weekly,2026-01-16,subcategory,Lifestyle,우산,35744015,0.0915777073,2,1920,6644,1920,0.3900205493,1.349633609,0.3900205493,7430.971808
weekly,2026-01-16,subcategory,Lifestyle,캠핑,47319622,0.1212349114,4,0,300,0,0,0.08615760491,0,13589.81766
weekly,2026-01-16,subcategory,Lifestyle,구강가전,5118768,0.01311450428,1,200,2145,200,0.2569593148,2.755888651,0.2569593148,8364
weekly,2026-01-16,subcategory,Lifestyle,명함지갑,1759968,0.004509113885,1,450,1620,450,1.564310545,5.631517961,1.564310545,5238
weekly,2026-01-16,subcategory,Tech,건강가전,21144760,0.05417378664,2,170,590,170,0.1651554404,0.5731865285,0.1651554404,21980
weekly,2026-01-16,subcategory,Lifestyle,모바일 악세사리,3546048,0.009085127841,2,800,2000,800,0.3412969283,0.8532423208,0.3412969283,1606
weekly,2026-01-16,subcategory,Drinkware,머그컵,1377500,0.003529214382,1,200,1000,200,0.3411028994,1.705514497,0.3411028994,2500
weekly,2026-01-16,subcategory,Kit Package,슬리브박스,19184314,0.04915103947,3,1500,4800,1500,0.2743104706,0.877793506,0.2743104706,3530.960648
weekly,2026-01-16,subcategory,Stationery,노트,13085988,0.03352686537,8,200,6704,200,0.03978302764,1.333527086,0.03978302764,1961.563444
weekly,2026-01-16,subcategory,Lifestyle,가드닝,20380,0.00005221443855,1,100,1572,100,0.09823182711,1.544204322,0.09823182711,20
weekly,2026-01-16,subcategory,Bag&pouch,하드케이스 파우치,23446812,0.0600717431,4,200,5065,200,0.03744415407,0.9482732019,0.03744415407,4188.205768
